rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split0_train_score
1,0.8053444796283062,0.0,1.0,0.0,15.791285514831543,0.0,0.32616424560546875,0.0,1,2,"{'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.8053444796283062,1.0
2,0.7833947210975305,0.0,0.9213669855878754,0.0,14.747341632843018,0.0,0.25164794921875,0.0,1,20,"{'model__min_samples_leaf': 1, 'model__min_samples_split': 20}",0.7833947210975305,0.9213669855878754
3,0.7437675366380152,0.0,0.7868819072659645,0.0,10.321964263916016,0.0,0.2087700366973877,0.0,20,2,"{'model__min_samples_leaf': 20, 'model__min_samples_split': 2}",0.7437675366380152,0.7868819072659645
3,0.7437675366380152,0.0,0.7868819072659645,0.0,9.423543453216553,0.0,0.4447898864746094,0.0,20,20,"{'model__min_samples_leaf': 20, 'model__min_samples_split': 20}",0.7437675366380152,0.7868819072659645
5,0.7416764751312209,0.0,0.7794511986616937,0.0,10.974750995635986,0.0,0.22205471992492676,0.0,1,100,"{'model__min_samples_leaf': 1, 'model__min_samples_split': 100}",0.7416764751312209,0.7794511986616937
6,0.7334408952507105,0.0,0.7611223717453788,0.0,8.274091482162476,0.0,0.37566542625427246,0.0,20,100,"{'model__min_samples_leaf': 20, 'model__min_samples_split': 100}",0.7334408952507105,0.7611223717453788
7,0.7199390076553707,0.0,0.7325710604864379,0.0,6.9007954597473145,0.0,0.15794706344604492,0.0,100,2,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 2}",0.7199390076553707,0.7325710604864379
7,0.7199390076553707,0.0,0.7325710604864379,0.0,6.561564922332764,0.0,0.16185975074768066,0.0,100,20,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 20}",0.7199390076553707,0.7325710604864379
7,0.7199390076553707,0.0,0.7325710604864379,0.0,10.314818382263184,0.0,0.12275338172912598,0.0,100,100,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 100}",0.7199390076553707,0.7325710604864379
