rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__tol,params,split0_test_score,split0_train_score
1,0.7164312892424792,0.0,0.7222682678055636,0.0,0.21751689910888672,0.0,0.019388198852539062,0.0,0.1,1e-05,"{'model__C': 0.1, 'model__tol': 1e-05}",0.7164312892424792,0.7222682678055636
1,0.7164312892424792,0.0,0.7222682678055636,0.0,0.18283605575561523,0.0,0.00815892219543457,0.0,0.1,0.0001,"{'model__C': 0.1, 'model__tol': 0.0001}",0.7164312892424792,0.7222682678055636
1,0.7164312892424792,0.0,0.7222682678055636,0.0,0.18513917922973633,0.0,0.007758378982543945,0.0,0.1,0.001,"{'model__C': 0.1, 'model__tol': 0.001}",0.7164312892424792,0.7222682678055636
4,0.7164246143271102,0.0,0.7222638504605461,0.0,0.18390655517578125,0.0,0.011479854583740234,0.0,1,1e-05,"{'model__C': 1, 'model__tol': 1e-05}",0.7164246143271102,0.7222638504605461
4,0.7164246143271102,0.0,0.7222638504605461,0.0,0.18253493309020996,0.0,0.008449792861938477,0.0,1,0.0001,"{'model__C': 1, 'model__tol': 0.0001}",0.7164246143271102,0.7222638504605461
4,0.7164246143271102,0.0,0.7222638504605461,0.0,0.19491338729858398,0.0,0.008065938949584961,0.0,1,0.001,"{'model__C': 1, 'model__tol': 0.001}",0.7164246143271102,0.7222638504605461
4,0.7164246143271102,0.0,0.7222638504605461,0.0,0.16780829429626465,0.0,0.008086919784545898,0.0,10,1e-05,"{'model__C': 10, 'model__tol': 1e-05}",0.7164246143271102,0.7222638504605461
4,0.7164246143271102,0.0,0.7222638504605461,0.0,0.1856071949005127,0.0,0.008339405059814453,0.0,10,0.0001,"{'model__C': 10, 'model__tol': 0.0001}",0.7164246143271102,0.7222638504605461
4,0.7164246143271102,0.0,0.7222638504605461,0.0,0.12546086311340332,0.0,0.005237579345703125,0.0,10,0.001,"{'model__C': 10, 'model__tol': 0.001}",0.7164246143271102,0.7222638504605461
